Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
IDBI Bank,USD,live-20260729000903,2026-07-29,2026-07-28,2026-07-28,,94.17,https://idbi.bank.in/merchantrates.aspx,"['यूएसए\r\n  डॉलर / United States Dollar', 'USD', '97.24', '94.17', '97.43', '93.98', '97.65', '93.75']"
IDBI Bank,USD,live-20260729062138,2026-07-29,2026-07-29,2026-07-29,,94.20,https://idbi.bank.in/merchantrates.aspx,"['यूएसए\r\n  डॉलर / United States Dollar', 'USD', '97.26', '94.20', '97.45', '94.00', '97.65', '93.80']"
IDBI Bank,USD,live-20260730062003,2026-07-30,2026-06-29,2026-06-29,,92.83,https://idbi.bank.in/merchantrates.aspx,"['यूएसए\r\n  डॉलर / United States Dollar', 'USD', '95.85', '92.83', '96.03', '92.64', '96.25', '92.40']"
IDBI Bank,GBP,live-20260730184127,2026-07-30,2026-06-29,2026-06-29,,121.78,https://idbi.bank.in/merchantrates.aspx,"['ग्रेट\r\n  ब्रिटेन\r\n  पाउंड / Great Britain Pound', 'GBP', '127.38', '121.78', '127.63', '121.53', '127.15', '122.05']"
IDBI Bank,EUR,live-20260730184127,2026-07-30,2026-06-29,2026-06-29,,105.02,https://idbi.bank.in/merchantrates.aspx,"['यूरो\r\n  / Euro', 'EUR', '109.85', '105.02', '110.07', '104.80', '109.65', '105.25']"
IDBI Bank,AED,live-20260730184127,2026-07-30,2026-06-29,2026-06-29,,24.85,https://idbi.bank.in/merchantrates.aspx,"['यूएई\r\n  दिरहम / U.A.E. Dirham', 'AED', '26.52', '24.85', '26.57', '24.80', '26.75', '24.65']"
IDBI Bank,GBP,live-20260801110039,2026-08-01,2026-07-31,2026-07-31,,125.38,https://idbi.bank.in/merchantrates.aspx,"['ग्रेट\r\n  ब्रिटेन\r\n  पाउंड / Great Britain Pound', 'GBP', '131.15', '125.38', '131.40', '125.12', '130.85', '125.65']"
IDBI Bank,USD,live-20260801110039,2026-08-01,2026-07-31,2026-07-31,,93.85,https://idbi.bank.in/merchantrates.aspx,"['यूएसए\r\n  डॉलर / United States Dollar', 'USD', '96.90', '93.85', '97.09', '93.66', '97.30', '93.45']"
IDBI Bank,AED,live-20260801110039,2026-08-01,2026-07-31,2026-07-31,,25.12,https://idbi.bank.in/merchantrates.aspx,"['यूएई\r\n  दिरहम / U.A.E. Dirham', 'AED', '26.81', '25.12', '26.86', '25.07', '27.05', '24.90']"
IDBI Bank,EUR,live-20260801110039,2026-08-01,2026-07-31,2026-07-31,,107.29,https://idbi.bank.in/merchantrates.aspx,"['यूरो\r\n  / Euro', 'EUR', '112.23', '107.29', '112.45', '107.07', '112.00', '107.55']"
IDBI Bank,USD,live-20260804062035,2026-08-04,2026-08-04,2026-08-04,,93.82,https://idbi.bank.in/merchantrates.aspx,"['यूएसए\r\n  डॉलर / United States Dollar', 'USD', '96.87', '93.82', '97.06', '93.63', '97.30', '93.40']"
IDBI Bank,GBP,live-20260804062035,2026-08-04,2026-08-04,2026-08-04,,125.18,https://idbi.bank.in/merchantrates.aspx,"['ग्रेट\r\n  ब्रिटेन\r\n  पाउंड / Great Britain Pound', 'GBP', '130.95', '125.18', '131.20', '124.93', '130.65', '125.45']"
IDBI Bank,EUR,live-20260804062035,2026-08-04,2026-08-04,2026-08-04,,107.29,https://idbi.bank.in/merchantrates.aspx,"['यूरो\r\n  / Euro', 'EUR', '112.23', '107.29', '112.45', '107.08', '112.00', '107.55']"
IDBI Bank,AED,live-20260804062035,2026-08-04,2026-08-04,2026-08-04,,25.12,https://idbi.bank.in/merchantrates.aspx,"['यूएई\r\n  दिरहम / U.A.E. Dirham', 'AED', '26.80', '25.12', '26.86', '25.07', '27.05', '24.90']"
IDBI Bank,GBP,live-20260806062053,2026-08-06,2026-08-06,2026-08-06,,125.21,https://idbi.bank.in/merchantrates.aspx,"['ग्रेट\r\n  ब्रिटेन\r\n  पाउंड / Great Britain Pound', 'GBP', '130.97', '125.21', '131.23', '124.95', '130.70', '125.45']"
IDBI Bank,EUR,live-20260806062053,2026-08-06,2026-08-06,2026-08-06,,107.43,https://idbi.bank.in/merchantrates.aspx,"['यूरो\r\n  / Euro', 'EUR', '112.38', '107.43', '112.60', '107.21', '112.15', '107.65']"
IDBI Bank,USD,live-20260806062053,2026-08-06,2026-08-06,2026-08-06,,93.63,https://idbi.bank.in/merchantrates.aspx,"['यूएसए\r\n  डॉलर / United States Dollar', 'USD', '96.67', '93.63', '96.86', '93.43', '97.10', '93.20']"
IDBI Bank,AED,live-20260806062053,2026-08-06,2026-08-06,2026-08-06,,25.06,https://idbi.bank.in/merchantrates.aspx,"['यूएई\r\n  दिरहम / U.A.E. Dirham', 'AED', '26.75', '25.06', '26.80', '25.01', '26.95', '24.85']"
