Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Skydo,USD,live-20260801153149,2026-08-01,2026-08-01,2026-08-01,15:30,95.4035,https://www.skydo.com/convert-usd-to-inr?amount=1000,"{'fx_rate': 95.4035, 'api_timestamp': 'Aug 1, 2026, 3:30:00 PM', 'base': 'USD', 'target': 'INR'}"
Skydo,EUR,live-20260801153149,2026-08-01,2026-08-01,2026-08-01,15:30,109.994,https://www.skydo.com/convert-usd-to-inr?amount=1000,"{'fx_rate': 109.994, 'api_timestamp': 'Aug 1, 2026, 3:30:00 PM', 'base': 'EUR', 'target': 'INR'}"
Skydo,GBP,live-20260801153149,2026-08-01,2026-08-01,2026-08-01,15:30,128.5846,https://www.skydo.com/convert-usd-to-inr?amount=1000,"{'fx_rate': 128.5846, 'api_timestamp': 'Aug 1, 2026, 3:30:00 PM', 'base': 'GBP', 'target': 'INR'}"
Skydo,AED,live-20260801153149,2026-08-01,2026-08-01,2026-08-01,15:30,25.9778,https://www.skydo.com/convert-usd-to-inr?amount=1000,"{'fx_rate': 25.9778, 'api_timestamp': 'Aug 1, 2026, 3:30:00 PM', 'base': 'AED', 'target': 'INR'}"
Skydo,USD,live-20260802062319,2026-08-02,2026-08-02,2026-08-02,11:51,95.4706,https://www.skydo.com/convert-usd-to-inr?amount=1000,"{'fx_rate': 95.4706, 'api_timestamp': 'Aug 2, 2026, 11:51:00 AM', 'base': 'USD', 'target': 'INR'}"
Skydo,EUR,live-20260802062319,2026-08-02,2026-08-02,2026-08-02,11:51,110.0994,https://www.skydo.com/convert-usd-to-inr?amount=1000,"{'fx_rate': 110.0994, 'api_timestamp': 'Aug 2, 2026, 11:51:00 AM', 'base': 'EUR', 'target': 'INR'}"
Skydo,GBP,live-20260802062319,2026-08-02,2026-08-02,2026-08-02,11:51,128.6869,https://www.skydo.com/convert-usd-to-inr?amount=1000,"{'fx_rate': 128.6869, 'api_timestamp': 'Aug 2, 2026, 11:51:00 AM', 'base': 'GBP', 'target': 'INR'}"
Skydo,AED,live-20260802062319,2026-08-02,2026-08-02,2026-08-02,11:51,25.9961,https://www.skydo.com/convert-usd-to-inr?amount=1000,"{'fx_rate': 25.9961, 'api_timestamp': 'Aug 2, 2026, 11:51:00 AM', 'base': 'AED', 'target': 'INR'}"
Skydo,EUR,live-20260803064015,2026-08-03,2026-08-03,2026-08-03,12:09,109.785,https://www.skydo.com/convert-usd-to-inr?amount=1000,"{'fx_rate': 109.785, 'api_timestamp': 'Aug 3, 2026, 12:09:00 PM', 'base': 'EUR', 'target': 'INR'}"
Skydo,USD,live-20260803064015,2026-08-03,2026-08-03,2026-08-03,12:09,95.2368,https://www.skydo.com/convert-usd-to-inr?amount=1000,"{'fx_rate': 95.2368, 'api_timestamp': 'Aug 3, 2026, 12:09:00 PM', 'base': 'USD', 'target': 'INR'}"
