Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Canara Bank,USD,20251010212830,2025-10-10,2025-10-10,,,88.3775,https://canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '89.1225', '89.3025', '88.3775', '88.32']"
Canara Bank,EUR,20251010212830,2025-10-10,2025-10-10,,,101.9525,https://canarabank.bank.in/pages/forex-card-rates,"['EUR/INR', '103.3900', '103.5975', '101.9525', '101.88']"
Canara Bank,GBP,20251010212830,2025-10-10,2025-10-10,,,117.2050,https://canarabank.bank.in/pages/forex-card-rates,"['GBP/INR', '119.0950', '119.3350', '117.2050', '117.13']"
Canara Bank,AED,20251010212830,2025-10-10,2025-10-10,,,23.9250,https://canarabank.bank.in/pages/forex-card-rates,"['AED/INR', '24.4275', '24.4750', '23.9250', '23.9075']"
Canara Bank,EUR,20260121123138,2026-01-21,2026-01-21,,,107.8650,https://canarabank.bank.in/pages/forex-card-rates,"['EUR/INR', '107.6500', '', '107.8650', '106.1625', '106.09', '']"
Canara Bank,USD,20260121123138,2026-01-21,2026-01-21,,,91.8000,https://canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '91.6175', '', '91.8000', '90.8775', '90.81', '']"
Canara Bank,GBP,20260121123138,2026-01-21,2026-01-21,,,123.8500,https://canarabank.bank.in/pages/forex-card-rates,"['GBP/INR', '123.6025', '', '123.8500', '121.6550', '121.57', '']"
Canara Bank,AED,20260121123138,2026-01-21,2026-01-21,,,25.1625,https://canarabank.bank.in/pages/forex-card-rates,"['AED/INR', '25.1125', '', '25.1625', '24.6000', '24.5825', '']"
Canara Bank,GBP,20260125032324,2026-01-25,2026-01-25,,,124.6375,https://www.canarabank.bank.in/pages/forex-card-rates,"['GBP/INR', '124.3900', '', '124.6375', '122.4275', '122.3425']"
Canara Bank,EUR,20260125032324,2026-01-25,2026-01-25,,,108.3650,https://www.canarabank.bank.in/pages/forex-card-rates,"['EUR/INR', '108.1475', '', '108.3650', '106.6425', '106.5675']"
Canara Bank,USD,20260125032324,2026-01-25,2026-01-25,,,92.0300,https://www.canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '91.8450', '', '92.0300', '91.0950', '91.0300']"
Canara Bank,AED,20260125032324,2026-01-25,2026-01-25,,,25.2250,https://www.canarabank.bank.in/pages/forex-card-rates,"['AED/INR', '25.1750', '', '25.2250', '24.6600', '24.6425']"
Canara Bank,USD,20260215115113,2026-02-15,2026-02-13,2026-02-13,,91.2525,https://www.canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '91.0725', '', '91.2525', '90.3175', '90.26']"
Canara Bank,GBP,20260215115113,2026-02-15,2026-02-13,2026-02-13,,124.7125,https://www.canarabank.bank.in/pages/forex-card-rates,"['GBP/INR', '124.4650', '', '124.7125', '122.5200', '122.44']"
Canara Bank,AED,20260215115113,2026-02-15,2026-02-13,2026-02-13,,25.0125,https://www.canarabank.bank.in/pages/forex-card-rates,"['AED/INR', '24.9625', '', '25.0125', '24.4500', '24.4325']"
Canara Bank,EUR,20260215115113,2026-02-15,2026-02-13,2026-02-13,,108.5725,https://www.canarabank.bank.in/pages/forex-card-rates,"['EUR/INR', '108.3550', '', '108.5725', '106.8450', '106.77']"
Canara Bank,AED,20260406061131,2026-04-06,2026-04-06,2026-04-06,,25.6150,https://www.canarabank.bank.in/pages/forex-card-rates,"['AED/INR', '25.5650', '', '25.6150', '25.0300', '25.0125']"
Canara Bank,GBP,20260406061131,2026-04-06,2026-04-06,2026-04-06,,123.9300,https://www.canarabank.bank.in/pages/forex-card-rates,"['GBP/INR', '123.6825', '', '123.9300', '121.7150', '121.6300']"
Canara Bank,USD,20260406061131,2026-04-06,2026-04-06,2026-04-06,,93.4550,https://www.canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '93.2700', '', '93.4550', '92.4850', '92.4200']"
Canara Bank,EUR,20260406061131,2026-04-06,2026-04-06,2026-04-06,,107.9550,https://www.canarabank.bank.in/pages/forex-card-rates,"['EUR/INR', '107.7375', '', '107.9550', '106.1975', '106.1250']"
Canara Bank,EUR,20260518094244,2026-05-18,2026-05-18,2026-05-18,,112.7925,https://www.canarabank.bank.in/pages/forex-card-rates,"['EUR/INR', '112.5675', '', '112.7925', '111.0000', '110.9225']"
Canara Bank,AED,20260518094244,2026-05-18,2026-05-18,2026-05-18,,26.5300,https://www.canarabank.bank.in/pages/forex-card-rates,"['AED/INR', '26.4775', '', '26.5300', '25.9325', '25.9150']"
Canara Bank,GBP,20260518094244,2026-05-18,2026-05-18,2026-05-18,,129.3650,https://www.canarabank.bank.in/pages/forex-card-rates,"['GBP/INR', '129.1075', '', '129.3650', '127.1225', '127.0350']"
Canara Bank,USD,20260518094244,2026-05-18,2026-05-18,2026-05-18,,96.7725,https://www.canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '96.5800', '', '96.7725', '95.8175', '95.7500']"
Canara Bank,USD,live-20260728233643,2026-07-28,2026-07-28,2026-07-28,,95.3325,https://www.canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '96.0950', '96.2850', '95.3325', '95.2675']"
Canara Bank,USD,live-20260729062203,2026-07-29,2026-07-29,2026-07-29,,95.3950,https://www.canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '96.1450', '96.3375', '95.3950', '95.3300']"
Canara Bank,USD,live-20260730061313,2026-07-30,2026-07-30,2026-07-30,,95.2500,https://www.canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '96.0225', '96.2125', '95.2500', '95.1850']"
Canara Bank,EUR,live-20260730184118,2026-07-30,2026-07-30,2026-07-30,,108.7000,https://www.canarabank.bank.in/pages/forex-card-rates,"['EUR/INR', '110.2525', '110.4725', '108.7000', '108.6225']"
Canara Bank,AED,live-20260730184118,2026-07-30,2026-07-30,2026-07-30,,25.7850,https://www.canarabank.bank.in/pages/forex-card-rates,"['AED/INR', '26.3200', '26.3725', '25.7850', '25.7650']"
Canara Bank,GBP,live-20260730184118,2026-07-30,2026-07-30,2026-07-30,,126.6550,https://www.canarabank.bank.in/pages/forex-card-rates,"['GBP/INR', '128.6300', '128.8875', '126.6550', '126.5675']"
Canara Bank,AED,live-20260731063221,2026-07-31,2026-07-31,2026-07-31,,25.7000,https://www.canarabank.bank.in/pages/forex-card-rates,"['AED/INR', '26.2350', '26.2875', '25.7000', '25.6800']"
Canara Bank,EUR,live-20260731063221,2026-07-31,2026-07-31,2026-07-31,,108.9175,https://www.canarabank.bank.in/pages/forex-card-rates,"['EUR/INR', '110.4825', '110.7050', '108.9175', '108.8400']"
Canara Bank,USD,live-20260731063221,2026-07-31,2026-07-31,2026-07-31,,94.9350,https://www.canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '95.7125', '95.9050', '94.9350', '94.8675']"
Canara Bank,GBP,live-20260731063221,2026-07-31,2026-07-31,2026-07-31,,127.2200,https://www.canarabank.bank.in/pages/forex-card-rates,"['GBP/INR', '129.2250', '129.4850', '127.2200', '127.1300']"
Canara Bank,EUR,live-20260803063947,2026-08-03,2026-08-03,2026-08-03,,108.9875,https://www.canarabank.bank.in/pages/forex-card-rates,"['EUR/INR', '110.5200', '110.7425', '108.9875', '108.9125']"
Canara Bank,AED,live-20260803063947,2026-08-03,2026-08-03,2026-08-03,,25.6700,https://www.canarabank.bank.in/pages/forex-card-rates,"['AED/INR', '26.2000', '26.2525', '25.6700', '25.6525']"
Canara Bank,USD,live-20260803063947,2026-08-03,2026-08-03,2026-08-03,,94.8325,https://www.canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '95.5800', '95.7725', '94.8325', '94.7650']"
Canara Bank,GBP,live-20260803063947,2026-08-03,2026-08-03,2026-08-03,,127.2325,https://www.canarabank.bank.in/pages/forex-card-rates,"['GBP/INR', '128.2375', '129.4975', '127.2325', '127.1450']"
Canara Bank,AED,live-20260804111741,2026-08-04,2026-08-04,2026-08-04,,25.7050,https://www.canarabank.bank.in/pages/forex-card-rates,"['AED/INR', '26.2350', '26.2875', '25.7050', '25.6875']"
Canara Bank,USD,live-20260804111741,2026-08-04,2026-08-04,2026-08-04,,94.9650,https://www.canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '95.7125', '95.9050', '94.9650', '94.8975']"
Canara Bank,GBP,live-20260804111741,2026-08-04,2026-08-04,2026-08-04,,127.0125,https://www.canarabank.bank.in/pages/forex-card-rates,"['GBP/INR', '128.9750', '129.2350', '127.0125', '126.9250']"
Canara Bank,EUR,live-20260804111741,2026-08-04,2026-08-04,2026-08-04,,108.9025,https://www.canarabank.bank.in/pages/forex-card-rates,"['EUR/INR', '110.4450', '110.6650', '108.9025', '108.8275']"
Canara Bank,USD,live-20260805062052,2026-08-05,2026-08-05,2026-08-05,,94.6250,https://www.canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '95.3725', '95.5625', '94.6250', '94.5575']"
Canara Bank,GBP,live-20260805062052,2026-08-05,2026-08-05,2026-08-05,,126.8800,https://www.canarabank.bank.in/pages/forex-card-rates,"['GBP/INR', '128.8325', '129.0900', '126.8800', '126.7900']"
Canara Bank,EUR,live-20260805062052,2026-08-05,2026-08-05,2026-08-05,,108.8175,https://www.canarabank.bank.in/pages/forex-card-rates,"['EUR/INR', '110.3475', '110.5675', '108.8175', '108.7400']"
Canara Bank,AED,live-20260805062052,2026-08-05,2026-08-05,2026-08-05,,25.6125,https://www.canarabank.bank.in/pages/forex-card-rates,"['AED/INR', '26.1400', '26.1925', '25.6125', '25.5950']"
Canara Bank,USD,live-20260806062315,2026-08-06,2026-08-06,2026-08-06,,94.7800,https://www.canarabank.bank.in/pages/forex-card-rates,"['USD/INR', '95.5375', '95.7300', '94.7800', '94.7125']"
Canara Bank,GBP,live-20260806062315,2026-08-06,2026-08-06,2026-08-06,,127.1050,https://www.canarabank.bank.in/pages/forex-card-rates,"['GBP/INR', '129.0850', '129.3425', '127.1050', '127.0175']"
Canara Bank,EUR,live-20260806062315,2026-08-06,2026-08-06,2026-08-06,,109.0900,https://www.canarabank.bank.in/pages/forex-card-rates,"['EUR/INR', '110.6350', '110.8550', '109.0900', '109.0125']"
Canara Bank,AED,live-20260806062315,2026-08-06,2026-08-06,2026-08-06,,25.6550,https://www.canarabank.bank.in/pages/forex-card-rates,"['AED/INR', '26.1875', '26.2400', '25.6550', '25.6375']"
