Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Kotak Mahindra Bank,USD,live-20260729000527,2026-07-29,2026-07-29,,,94.05,https://www.kotak.bank.in/en/rates/forex-rates.html,"['USD', '92.96', '93.60', '92.78', '94.05']"
Kotak Mahindra Bank,USD,live-20260730061301,2026-07-30,2026-07-30,,,93.95,https://www.kotak.bank.in/en/rates/forex-rates.html,"['USD', '92.86', '93.50', '92.68', '93.95']"
Kotak Mahindra Bank,AED,live-20260730184127,2026-07-30,2026-07-30,,,25.03,https://www.kotak.bank.in/en/rates/forex-rates.html,"['AED', '25.23', '25.37', '24.05', '25.03']"
Kotak Mahindra Bank,EUR,live-20260730184127,2026-07-30,2026-07-30,,,107.03,https://www.kotak.bank.in/en/rates/forex-rates.html,"['EUR', '105.79', '106.35', '105.12', '107.03']"
Kotak Mahindra Bank,GBP,live-20260730184127,2026-07-30,2026-07-30,,,124.83,https://www.kotak.bank.in/en/rates/forex-rates.html,"['GBP', '124.09', '124.09', '122.76', '124.83']"
Kotak Mahindra Bank,EUR,live-20260731063237,2026-07-31,2026-07-31,,,107.35,https://www.kotak.bank.in/en/rates/forex-rates.html,"['EUR', '106.11', '106.67', '105.44', '107.35']"
Kotak Mahindra Bank,GBP,live-20260731063237,2026-07-31,2026-07-31,,,125.53,https://www.kotak.bank.in/en/rates/forex-rates.html,"['GBP', '124.79', '124.79', '123.46', '125.53']"
Kotak Mahindra Bank,AED,live-20260731063237,2026-07-31,2026-07-31,,,24.98,https://www.kotak.bank.in/en/rates/forex-rates.html,"['AED', '25.18', '25.32', '24.00', '24.98']"
Kotak Mahindra Bank,USD,live-20260731063237,2026-07-31,2026-07-31,,,93.75,https://www.kotak.bank.in/en/rates/forex-rates.html,"['USD', '92.66', '93.30', '92.48', '93.75']"
Kotak Mahindra Bank,GBP,live-20260803063907,2026-08-03,2026-08-03,,,125.35,https://www.kotak.bank.in/en/rates/forex-rates.html,"['GBP', '124.61', '124.61', '123.28', '125.35']"
Kotak Mahindra Bank,EUR,live-20260803063907,2026-08-03,2026-08-03,,,107.18,https://www.kotak.bank.in/en/rates/forex-rates.html,"['EUR', '105.94', '106.50', '105.27', '107.18']"
